        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.64000000e+02,        +1.685021438282e-12,        +1.647996937795e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.685245116935e-12,        +1.647696117971e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.684879005083e-12,        +1.647479012930e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.684929549246e-12,        +1.647725474694e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+02,        +1.691649900019e-12,        +1.642769033123e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.691856769985e-12,        +1.642454079153e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.691495948528e-12,        +1.642246137030e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.691549333025e-12,        +1.642493390404e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +1.697618718765e-12,        +1.637093879280e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.697808135963e-12,        +1.636764380590e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.697453156435e-12,        +1.636565761387e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.697509316640e-12,        +1.636814015086e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+02,        +1.702924878423e-12,        +1.630982753808e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.703096245745e-12,        +1.630638347418e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.702747637342e-12,        +1.630449182762e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.702806505605e-12,        +1.630698640391e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +1.707566635801e-12,        +1.624447401754e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707719406732e-12,        +1.624087773417e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707377673672e-12,        +1.623908165848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707439179455e-12,        +1.624159025831e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+02,        +1.711543442090e-12,        +1.617499976551e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.711677123972e-12,        +1.617124861540e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.711342743068e-12,        +1.616954883983e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.711406813080e-12,        +1.617207339541e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +1.714855869939e-12,        +1.610152990201e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714970026846e-12,        +1.609762173742e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714643445304e-12,        +1.609601869179e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714710003638e-12,        +1.609856108352e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+02,        +1.717505547790e-12,        +1.602419272847e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717599802993e-12,        +1.602012590214e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717281436456e-12,        +1.601861971553e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717350404722e-12,        +1.602118177247e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +1.719495102751e-12,        +1.594311941493e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719569140750e-12,        +1.593889277775e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719259371588e-12,        +1.593748327894e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719330669058e-12,        +1.594006677965e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+02,        +1.720828112822e-12,        +1.585844377280e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.720881680932e-12,        +1.585405666840e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.720580856798e-12,        +1.585274338821e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.720654400552e-12,        +1.585535006179e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +1.721509068840e-12,        +1.577030210497e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721541978324e-12,        +1.576575436139e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721250410963e-12,        +1.576453653666e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721326116062e-12,        +1.576716806397e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+02,        +1.721543346085e-12,        +1.567883312221e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721555472826e-12,        +1.567412504098e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721273437164e-12,        +1.567300162015e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.721351216823e-12,        +1.567565963516e-12,        +0.000000000000e+00,        +0.000000000000e+00
