        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.82400000e+02,        +1.414213562373e-01,        +1.568256543930e-01,        +7.148430283053e-02,        +1.189561696724e-02,        +9.947725486931e-04,        +1.414213562373e-01,        +1.189561696721e-02,        +9.947725487843e-04,        +1.579414194254e-01,        +7.080512120757e-02
 1.84000000e+02,        +1.414213562373e-01,        +1.752630082703e-01,        +6.165947974098e-02,        +1.014794919354e-02,        -1.893224821950e-03,        +1.414213562373e-01,        +1.014794919360e-02,        -1.893224821898e-03,        +1.763284058925e-01,        +6.067749906032e-02
 1.85600000e+02,        +1.414213562373e-01,        +1.913355385906e-01,        +4.699495753773e-02,        +7.997680477170e-03,        -3.861420119664e-03,        +1.414213562373e-01,        +7.997680477221e-03,        -3.861420119608e-03,        +1.922376676900e-01,        +4.571779841367e-02
 1.87200000e+02,        +1.414213562373e-01,        +2.036094201807e-01,        +2.838811991893e-02,        +5.735120036424e-03,        -4.942182667063e-03,        +1.414213562373e-01,        +5.735120036563e-03,        -4.942182667085e-03,        +2.042433827631e-01,        +2.687329525551e-02
 1.88800000e+02,        +1.414213562373e-01,        +2.110524906874e-01,        +7.229929054548e-03,        +3.624454442367e-03,        -5.247278899629e-03,        +1.414213562373e-01,        +3.624454442312e-03,        -5.247278899521e-03,        +2.113459550394e-01,        +5.576173570349e-03
 1.90400000e+02,        +1.414213562373e-01,        +2.132437390305e-01,        -1.481560128048e-02,        +1.861632605420e-03,        -4.963846475267e-03,        +1.414213562373e-01,        +1.861632605470e-03,        -4.963846475240e-03,        +2.131729197517e-01,        -1.648997058686e-02
 1.92000000e+02,        +1.414213562373e-01,        +2.104247685571e-01,        -3.612581598973e-02,        +5.434207360626e-04,        -4.315288304583e-03,        +1.414213562373e-01,        +5.434207361012e-04,        -4.315288304569e-03,        +2.100152792235e-01,        -3.770910630088e-02
 1.93600000e+02,        +1.414213562373e-01,        +2.033708587379e-01,        -5.540169617064e-02,        -3.310975523306e-04,        -3.509800883877e-03,        +1.414213562373e-01,        -3.310975523472e-04,        -3.509800883877e-03,        +2.026847725345e-01,        -5.680923127478e-02
 1.95200000e+02,        +1.414213562373e-01,        +1.931515257065e-01,        -7.181979417887e-02,        -8.305293878104e-04,        -2.703247167339e-03,        +1.414213562373e-01,        -8.305293877390e-04,        -2.703247167268e-03,        +1.922681480040e-01,        -7.300261113091e-02
 1.96800000e+02,        +1.414213562373e-01,        +1.808854632142e-01,        -8.503483052388e-02,        -1.052120458262e-03,        -1.988045813797e-03,        +1.414213562373e-01,        -1.052120458287e-03,        -1.988045813733e-03,        +1.798838784839e-01,        -8.597741238900e-02
